rxn_ID	ml_Control	ml_FeLim	ml_FeEx	ml_ZnLim	ml_ZnEx
rxn00929_d0_f	2.9703064	1.0768738	0.9419403	1.0327759	0
rxn00931_d0_f	0	0.35806274	2.3387604	0	0
rxn00947_d0	0	0	0	0	0
rxn00974_d0_f	0	0	0	0	0
rxn00980_d0_f	4.525177	4.93219	4.4138184	4.4928284	4.398834
rxn01000_d0	0	0	0	0	0
rxn01011_d0_f	0	0	0	0	0
rxn01018_d0_f	0	0	0	0	0
rxn01019_d0_f	2.3744202	0	1.5966492	1.8536072	2.209198
rxn01069_d0_f	2.4280396	0	0	3.034607	3.1212158
rxn01100_d0_f	0	0	0	0	0
rxn01101_d0_f	2.810913	4.7755127	3.6210938	5.9265137	6.307495
rxn01102_d0	0	0	0	0	0
rxn01106_d0_f	7.758423	9.60376	12.429382	11.587524	0
rxn01111_d0	13.955566	16.60559	12.174377	12.633301	14.069458
rxn01115_d0	0	0	0	0	0
rxn01116_d0_f	0	0	0	0	0
rxn01200_d0_f	0	0	0	0	0
rxn01207_d0	0	0	0	0	0
rxn01211_d0_f	6.255829	3.7438354	8.506165	5.779022	5.51178
rxn01249_d0_f	0	0	1.314148	0	0
rxn01255_d0	2.6047745	3.099387	2.980807	1.9450654	3.02943
rxn01256_d0	0	1.5475097	1.0281744	0	1.4665322
rxn01257_d0_f	0	0	0.83740234	0	0
rxn01258_d0_f	0	0	0	0	0
rxn01301_d0_f	0	0	0	0	0
rxn01302_d0_f	0	0	0	0	0
rxn01332_d0	3.8209295	9.827131	4.097571	3.5897589	2.4990444
rxn01334_d0_f	0	0	0	0	0
rxn01345_d0_f	0	0	0	0	0
rxn01353_d0_f	8.029144	7.2835693	5.231598	9.006409	9.621872
rxn01396_d0	0	0	0	0	0
rxn01434_d0	0	0	0	0	0
rxn01465_d0_f	0	0	2.4909668	3.4984741	3.3620605
rxn01476_d0_f	0	0	0	0	0
rxn01486_d0	0	0	0	0	0
rxn01512_d0_f	8.029144	7.2835693	5.231598	9.006409	9.621872
rxn01539_d0_f	2.115481	2.5297775	1.7793864	2.0862238	2.180803
rxn01636_d0_f	1.3635864	0	0	0	0.2954712
rxn01637_d0_f	0	0.8409424	0	0	0.72265625
rxn01643_d0_f	2.3081055	0	1.6047363	1.3415527	1.2034607
rxn01644_d0	0	0.4290468	0	0	0
rxn01652_d0_f	0	0	0	0	0
rxn01673_d0_f	8.029144	7.2835693	5.231598	9.006409	9.621872
rxn01678_d0_f	8.029144	7.2835693	5.231598	9.006409	9.621872
rxn01739_d0	1.6448586	3.3252513	1.6831455	1.5243003	2.1858406
rxn01740_d0_f	0	0	0	0	0
rxn01807_d0	0	0	0	0	0
rxn01827_d0	0	0	0	0	0
rxn01917_d0_f	17.783752	4.844116	15.523743	14.743347	14.394897
rxn01974_d0_f	0	0	0	0	0
rxn01975_d0_f	0	0	0	0	0
rxn02159_d0_f	0	0	0	0	0
rxn02212_d0	2.5945988	8.998335	3.2097259	3.0020196	1.9236073
rxn02213_d0	0.19750237	3.8224406	0.44195986	0.6016624	0.026412964
rxn02251_d0	0	0	0	0	0
rxn02305_d0	0	0	0	0	0
rxn02320_d0_f	1.5568848	4.9630737	1.8664551	1.513977	1.4733887
rxn02373_d0_f	0	0	0	0	0
rxn02374_d0	2.8189342	0.7592764	2.0197701	1.2177922	0
rxn02380_d0_f	0	0	0	0	0
rxn02465_d0_f	4.297589	0.96803963	5.5011315	3.382468	3.2656643
rxn02473_d0	0	0	0	0	0
rxn02474_d0_f	0	0	0	0	0
rxn02475_d0	0	0	0	0	0
rxn02476_d0_f	9.919617	0	7.871643	9.285522	8.013916
rxn02484_d0	0	0	0	0	0
rxn02507_d0	0	0	0	0	0
rxn02789_d0_f	0	0	0	0	0
rxn02811_d0_f	0	0	0	0	0
rxn02834_d0	0	0	0	0	0
rxn02835_d0_f	1.2434692	0.9555054	0.5288086	1.0445862	0.3625183
rxn02895_d0	3.0829134	5.192644	4.572938	4.4539676	4.0778685
rxn02914_d0_f	1.4940796	0	1.7088013	0.2109375	1.2637329
rxn02928_d0_f	0	0	0	0	0.5946655
rxn02929_d0_f	0	0	0	0	0
rxn02937_d0	1.9984765	4.4944177	2.1652472	2.4263704	2.1086524
rxn02938_d0_f	0	0	1.484375	1.2927246	1.8457031
rxn02988_d0_f	0	0	0	0	0
rxn03004_d0	0.9989446	3.0642612	0.97005534	1.002897	1.1940801
rxn03062_d0_f	0	0	0	0	0
rxn03080_d0_f	4.789566	2.5358887	3.109665	2.7478638	2.8697052
rxn03084_d0	17.452969	23.68991	19.288475	17.154976	15.855217
rxn03108_d0_f	0	0	0	0	0
rxn03136_d0_f	0	0	6.602661	6.7958984	7.473633
rxn03137_d0	1.1230407	0	3.3527803	2.7163534	2.703785
rxn03147_d0	2.1935995	5.0682516	2.4036157	2.4773264	3.1774669
rxn03175_d0_f	1.1600037	0	0.42910767	1.099823	0.68325806
rxn03891_d0	0	0	0	0	0
rxn03892_d0	0	0	0	0	0
rxn03907_d0_f	0.8329468	0	1.0520325	1.3451233	1.3692627
rxn03908_d0	0	0	0	0	0
rxn03909_d0	0	0	0	0	0
rxn03910_d0	0	0	0	0	0
rxn03958_d0_f	0	0	0	0	0
rxn04113_d0	0	0	0	0	0
rxn05023_d0	1.6027843	0.08290342	1.0544703	0.35879138	1.2578133
rxn05024_d0	0	0	0	0	0
rxn05039_d0_f	8.361499	4.7599044	8.735645	7.251887	6.4361734
rxn05040_d0	0	0	0	0	0
rxn05104_d0	0	0	0	0	0
rxn05106_d0_f	0	0	0	0	0
rxn05287_d0	0	0	0	0	0
rxn05330_d0_f	1.3205719	0.80493164	0.73825073	0.36586	0
rxn05331_d0_f	1.4098053	0.9470215	0.7322998	0.23249817	0
rxn05335_d0_f	0	0	0	0.6793976	0.083465576
rxn05337_d0_f	0	0	0.71676636	0	0
rxn05340_d0_f	0	0	0.71676636	0	0
rxn05342_d0_f	0.14916992	0	2.1372986	0.21685791	1.6185608
rxn05343_d0	0	0.68741345	0	0	0
rxn05345_d0	0	0	0	0	0
rxn05346_d0	0	0	0	0	0
rxn05348_d0	0	0	0	0	0
rxn05350_d0	0.13848495	1.0367463	0.92076784	0.5387739	0.77959263
rxn05465_d0_f	7.086426	3.2853394	6.503418	8.848633	7.451416
rxn05736_d0	0	0	0	0	0
rxn06556_d0	2.6630287	3.6136205	3.9221704	2.6644566	2.6935215
rxn07441_d0_f	0.115234375	0	0	0	0
rxn07579_d0	0	0	0	0	0
rxn08352_d0	0	0	0	0	0
rxn08392_d0_f	0	0	0	0.773407	0
rxn08436_d0_f	2.4974365	3.6534424	3.789856	4.6864014	4.279724
rxn08756_d0	0	0	0	0	0
rxn08766_d0	0	0	0	0	0
rxn09444_d0	0	0	0	0	0
rxn09449_d0	0	0	0	0	0
rxn09453_d0	0	0	0	0	0
rxn11040_d0	0	0	0	0	0
rxn11700_d0	0.04180386	0.08071161	0.043255504	0.039092425	0.052496918
rxn11702_d0	0	0	0	0	0
rxn11703_d0	4.225371	2.067987	3.6965532	3.6318133	4.5873227
rxn12282_d0	0	0	0	0	0
rxn14012_d0	0	0	0	0	0
rxn14085_d0	0	0	0	0	0
rxn14094_d0	0	0	0	0	0
rxn14142_d0	0	0	0	0	0
rxn14261_d0	0	0	0	0	0
rxn15022_d0	0	0	0	0	0
rxn15069_d0	0	0	0	0	0
rxn15116_d0_f	0	0	0	0	0
rxn15166_d0	0	0	0	0	0
rxn15250_d0_f	0.36950684	0	0	0.40795898	0.5303955
rxn15271_d0_f	0	0	0	0	0
rxn15280_d0_f	0	0	0	0	0
rxn15298_d0_f	2.2229614	0	0	0	0.7175293
rxn15364_d0_f	0	0	0	0	0
rxn15435_d0	0	0	0	0	0
rxn15493_d0	3.2890015	1.1351318	5.128296	5.922058	2.0823975
rxn15494_d0_f	0	0	0	0	0
rxn17196_d0	38.6333	0	23.427734	20.583984	0
rxn17744_d0_f	18.90866	7.099365	17.737732	18.396057	14.536377
rxn17803_d0_f	0	0	0	1.255127	1.0056763
rxn18935_d0	0.37416515	0	0.3758562	0.3747874	0.3143711
rxn18936_d0_f	1.3808746	0.6954956	0.9654236	1.0418243	0.14807129
rxn18937_d0_f	1.8810577	0.9992676	0	2.4352264	1.4660339
rxn19027_d0_f	0	0	0	0	0
rxn19029_d0_f	0	0	0	0	0
rxn19030_d0	0	0	0	0	0
rxn19071_d0	0	0	0	0	0
rxn19240_d0_f	0.02960205	0	0	0	0
rxn19241_d0_f	3.0376587	1.8328857	3.6029053	3.1767578	0
rxn19242_d0_f	3.418579	2.3946533	4.144104	3.1932373	0
rxn19246_d0	0	0	0	0	0
rxn19253_d0	0	0	0	0	0
rxn19343_d0_f	1.5157471	0	0	0.3151245	0
rxn19345_d0	0.22564685	0.5613004	0.22455029	0.18399166	0.18280998
rxn19544_d0	0	0	0	0	0
rxn19545_d0	0	0	0	0	0
rxn19686_d0_f	1.3023529	0.58917236	0	0.9356842	0.856781
rxn19828_d0_f	0	0	0	0	0
rxn19900_d0_f	0	0	0	0	0
rxn19905_d0	0.36134112	1.0846648	0.3894828	0.42992675	0.44987428
rxn20583_d0_f	0	0	0	0	0
rxn20595_d0	104.1568	24.572844	22.999285	15.253114	19.100428
rxn20632_d0	55.655823	10.404672	0	0	10.191521
rxn20643_d0_f	2.2270813	0	0	0	0
rxn23155_d0_f	0	0	0	0	0
rxn23415_d0_f	1.6595494	1.3142799	1.1308075	1.5234263	1.5851635
rxn23805_d0	0.3884645	0.18154556	0.5052274	0.35501778	0.2919524
rxn24109_d0	0	0	0	0	0
rxn24310_d0	0	0	0	0	0
rxn24312_d0	0	0	0	0	0
rxn24330_d0_f	9.029297	8.483276	5.7993164	5.395752	11.016357
rxn24358_d0	0	0	0	0	0
rxn24360_d0	0	0	0	0	0
rxn24362_d0_f	0	0	0	0	0
rxn24508_d0_f	13.279541	5.419922	15.740967	21.661865	19.937988
rxn25637_d0_f	2.679779	0.37139893	4.092621	2.396637	1.3031921
rxn25641_d0_f	0	0	0.9941101	0	0
rxn25647_d0_f	15.034607	11.723022	12.93927	16.338806	15.708191
rxn25649_d0_f	13.971497	12.642822	12.940155	15.165222	16.429596
rxn25661_d0_f	0	0	1.3141174	0	0
rxn25662_d0	0	0	0	0	0
rxn25716_d0_f	0	0	0	0	0
rxn25718_d0_f	0	0	1.4829102	0	0
rxn25719_d0_f	1.2790985	0.23876953	0.81866455	0.371109	0
rxn25743_d0_f	2.202179	0	1.2582397	2.3683167	2.1098633
rxn25747_d0_f	0	0	0	0	0
rxn25750_d0_f	10.853607	4.123169	8.236572	12.533051	13.403229
rxn25762_d0	0	0	0	0	0
rxn26013_d0_f	0	0	0	0	0
rxn26037_d0_f	0	0	0	0	0
rxn26754_d0	206.28848	51.652924	57.863724	38.886475	43.122337
rxn27029_d0	0	0	0	0	0
rxn27030_d0	0	0	0	0	0
rxn27259_d0	1.3500605	0.73950875	1.3870608	1.2236952	0.655324
rxn27266_d0_f	0	12.070557	0	15	11.780273
rxn27497_d0	1.3893328	0.6612265	1.4781216	1.2466899	0.78712535
rxn27709_d0	0.072630435	0.13868387	0.0748456	0.07844816	0.084154986
rxn27927_d0_f	3.7138977	0	3.493042	3.7480469	3.674347
rxn28082_d0_f	0	0	0	0	0
rxn28083_d0_f	0	0	0	0	0
rxn28487_d0_f	2.187622	0.025268555	3.8322144	4.925537	5.0164185
rxn28615_d0_f	0	0	0	0	0
rxn29919_d0_f	0.80773926	0	0	0.85736084	0
rxn31768_d0	0	0	0	0	0
rxn37018_d0	0	0	0	0	0
rxn37266_d0_f	0	0	0	0	0
rxn37324_d0	0	0	0	0	0
rxn37610_d0	0	0	0	0	0
rxn37651_d0_f	0	0	0	0	0
rxn00211_d0_f	0	0	0	0	0
rxn00834_d0_f	0	0	0	0	0
rxn00213_d0_f	0	0	0	0	0
rxn00416_d0	0.4190624	1.1243478	0.38874915	0.28433463	0.30491796
rxn00239_d0_f	19.352417	10.214111	15.854736	15.887878	16.124817
rxn00917_d0	0	0	0	0	0
rxn01007_d0	0	0	0	0	0
rxn00495_c0	0	0	0	0	0
rxn00257_c0_f	82.98071	83.98535	82.684814	85.24585	83.75513
rxn00710_c0	0	0	0	0	0
rxn01611_c0	0	0	0	0	0
rxn00499_c0_f	38.881104	36.22638	32.89908	32.61609	37.857117
rxn04954_c0_f	40.879395	37.220215	40.18335	41.91858	42.4021
rxn00154_c0	0	0	0	0	0
rxn00799_c0_f	41.104492	61.3833	40.051758	41.313293	41.104736
rxn01361_c0_f	12.33275	10.2376	12.016101	12.860917	12.983563
rxn09736_c0_o	129.08823	122.88554	126.05259	129.03577	130.90395
rxn05238_c0_i	161.83514	161.44122	161.85883	161.7531	161.38837
rxn08730_c0_o	361.3453	358.71436	358.4124	359.58463	358.92117
rxn31154_d0_i	436.28812	213.3027	187.0695	176.11763	206.79408
rxn05467_c0_i	218.10632	218.86899	221.14095	222.2838	224.07585
rxn05468_c0_i	115.493706	126.74687	132.0491	133.64676	130.09872
rxn09121_c0_o	335.5593	341.17978	338.49622	339.18817	337.97324
rxn05319_c0_i	348.43262	336.3463	344.64917	344.88855	345.61694
rxn05238_d0_o	68.80901	68.89733	68.80301	68.828255	68.909225
rxn05319_d0_o	0	0	0	0	0
rxn05467_d0_o	56.047157	50.36319	53.3848	53.93472	52.872974
rxn05468_d0_o	138.69702	109.0062	104.01689	103.257225	109.33236
rxn08730_d0_i	0	0	0	0	0
rxn09118_d0_i	0.017482514	0.01614866	0.009364825	0.019564347	0.030767266
rxn09121_d0_i	0	6.0835834	0	0	0
rxn09736_d0_i	109.563644	122.82384	116.85923	110.23558	107.006935
rxn09817_d0_i	5.384445	4.7087355	7.390061	7.754263	7.2736096
rxn09839_d0_i	0	0	0	0	0
rxn10929_d0_o	7.7600193	6.9458036	8.0144205	8.120535	7.5521703
rxn10967_d0_o	15.247559	14.52259	13.974255	14.993685	14.820223
rxn11013_d0_o	23.84855	23.91215	29.894764	27.575525	28.442478
rxn13360_d0_i	2.7365181	1.8828682	1.9642202	1.9250394	0.9450957
rxn13361_d0_o	41.34103	38.24015	35.92336	38.559124	40.50344
rxn13365_d0_i	26.208807	27.835304	25.572393	27.924395	25.546873
rxn29240_d0_f	1.404292	1.0714874	1.8209145	1.173135	1.217418
rxn29318_d0_o	28.247437	28.774893	28.89948	28.899565	29.13512
rxn29733_d0_o	4.5484014	6.1156964	4.8631654	3.9357045	3.3330448
rxn29785_d0_o	11.46395	8.483314	10.949666	9.629607	8.27866
rxn33186_d0_i	0.021638207	0	1.6253728	0.1873573	0.025742074
rxn39241_d0_i	2.2810059	0	2.321106	0	0
rxn39242_d0_i	22.494202	14.696655	19.624573	20.868774	19.699219
rxn_cpd00008_c0_i	19.676123	15.047256	18.656986	18.326952	19.315863
rxn_cpd00002_c0_i	400.21112	408.31738	402.37473	402.2771	400.2908
rxn_cpd00103_c0_o	0	3.6586342	0	0	0
rxn08217_c0_o	23.012943	25.027765	22.833147	24.206303	23.450472
bio1_biomass	0.27086288	0.39354455	0.06806286	0.32797226	0.6294867
EX_cpd00013_e0_i	60.478386	77.488594	67.80625	60.907516	56.630222
EX_cpd00048_e0_i	16.836256	16.236397	16.872435	16.712492	16.153635
EX_cpd11632_e0_i	435.29135	100.920845	69.66505	48.7094	88.55205
EX_cpd00011_e0_i	122.948	123.512344	129.25244	130.6812	132.96805
EX_cpd00001_e0_i	332.61044	313.42548	327.7955	327.3832	329.8552
EX_cpd00002_e0_i	369.58105	379.81436	371.72983	371.9221	369.5275
rxn00001_d0_r	0	0	0	0	0
rxn00069_d0_r	0	0	0	0	0
rxn00086_d0_r	2.18042	0	0	0.6022949	0.020996094
rxn00097_d0_r	0	0	0	0	0
rxn00102_d0_r	37.56958	32	42.65503	42.235596	42.32202
rxn00117_d0_r	2.0950623	1.6552124	3.6494598	3.8559113	4.823532
rxn00122_d0_r	3.6165466	3.1173096	4.8371277	0.8782959	4.160553
rxn00148_d0_r	0	0	0	0	0
rxn00179_d0_r	0	0	0	0	0
rxn00191_d0_r	0	0	0	0	0
rxn00237_d0_r	0	2.908905	0	4.1390076	6.062622
rxn00248_d0_r	4.248108	6.031494	6.005432	4.977722	4.581726
rxn00260_d0_r	3.2033691	0	0	3.730713	0
rxn00272_d0_r	0	0	0	0	0
rxn00275_d0_r	0	0	0	0	0
rxn00337_d0_r	0	0	0	0	0
rxn00391_d0_r	0	0	0	0	0
rxn00409_d0_r	1.9801941	1.6539917	0	3.5010986	4.603592
rxn00420_d0_r	1.3428955	0	0.5519104	1.1904907	1.3116455
rxn00459_d0_r	0	0	0	0	0.32458496
rxn00493_d0_r	0	0	0	0	0
rxn00527_d0_r	0	0	0	0	0
rxn00533_d0_r	0	0	0	0	0
rxn00611_d0_r	0.5013428	0	1.0960693	0.6766968	2.0672913
rxn00692_d0_r	0	0	0	0	0
rxn00693_d0_r	0	0	0	0	0
rxn00711_d0	0	0	0	0	0
rxn00720_d0_r	0.93896484	0	2.354126	0.65563965	0
rxn00747_d0_r	0	0	0	0	0
rxn00777_d0_r	0	0	0	0	0
rxn00781_d0_r	0	0	0	0	0
rxn00782_d0_r	0	0	0	0	0
rxn00789_d0	0	0	0	0	0
rxn00790_d0	6.212907	1.5562937	6.112204	6.0810103	8.210963
rxn00791_d0	0	0	0	0	0
rxn00800_d0_r	0	0	0	0	0
rxn00802_d0_r	6.503723	0	0.4885254	6.028137	5.850769
rxn00830_d0_r	0	0	0	0	0
rxn00832_d0_r	0	0	0	0	0
rxn00839_d0_r	2.1003723	1.6540527	0	3.8475647	4.816223
rxn00863_d0_r	2.968628	0	1.2220459	0.7268677	0.44226074
rxn00907_d0_r	0	0	0	0	0
rxn00929_d0_r	2.4825134	4.596405	0	1.7017212	3.0718079
rxn00931_d0_r	5.37973	1.3495178	6.828659	3.6088257	0.003936768
rxn00974_d0_r	0	0	0	0	0
rxn00980_d0_r	1.3121033	0	0.5706177	1.1703796	1.2806702
rxn01011_d0_r	0	0	0	0	0
rxn01018_d0_r	0	0	0.52630615	0	1.2508545
rxn01019_d0_r	0.42700195	0	0	0.7265625	0.6631775
rxn01069_d0_r	0	0	0	0	0
rxn01100_d0_r	0	0	0	0	0
rxn01101_d0_r	0	0	0	0	0
rxn01106_d0_r	22.38919	28.805054	22.793365	24.681335	12.365723
rxn01116_d0_r	0	0	0	0	0
rxn01200_d0_r	0	0	0	0	0
rxn01208_d0	0	0	0	0	0
rxn01211_d0_r	0	0	0	0	0
rxn01249_d0_r	2.4926758	0.37145996	3.9169312	0.65563965	1.1460266
rxn01257_d0_r	0	0	0	0	0
rxn01258_d0_r	0	0	0	0	0
rxn01301_d0_r	0	0	0	0	0
rxn01302_d0_r	0	0	0	0	0
rxn01334_d0_r	0	0	0	0	0
rxn01345_d0_r	0	0	0	0	0
rxn01353_d0_r	2.1003723	1.6540527	0	3.8475647	4.816223
rxn01465_d0_r	0.75024414	0	0	0.11254883	0.50994873
rxn01476_d0_r	0	0	0	0	0
rxn01512_d0_r	2.1003723	1.6540527	0	3.8475647	4.816223
rxn01539_d0_r	3.7961469	5.3651605	4.107485	3.8764288	3.7666752
rxn01636_d0_r	0.35583496	3.7546387	1.2727661	0.7849121	0.432312
rxn01637_d0_r	0.17108154	0	0	0	0
rxn01643_d0_r	7.7239075	3.600769	6.625061	6.600952	5.542328
rxn01652_d0_r	0	0	0	0	0
rxn01673_d0_r	2.1003723	1.6540527	0	3.8475647	4.816223
rxn01678_d0_r	2.1003723	1.6540527	0	3.8475647	4.816223
rxn01740_d0_r	0	0	0.46862793	0	0
rxn01917_d0_r	6.5242615	0	7.017456	4.836853	4.8692017
rxn01974_d0_r	0	0	0	0	0
rxn01975_d0_r	0	0	0	0	0
rxn02159_d0_r	0.091308594	0	0.048095703	0	0
rxn02320_d0_r	0	0.97546387	0	0	0
rxn02373_d0_r	4.232544	0	4.802246	2.17688	0.789917
rxn02380_d0_r	0	0	0	0	0
rxn02402_d0	0	0	0	0	0
rxn02465_d0_r	13.9268465	7.8700833	11.760264	12.075305	10.498153
rxn02474_d0_r	6.355957	0	6.890259	5.2788086	3.7086792
rxn02476_d0_r	0	0	0	0	0
rxn02789_d0_r	0	0	0	0	0
rxn02811_d0_r	0	0	0	0	0
rxn02832_d0	5.489535	4.5422554	3.337346	3.5929098	6.8215346
rxn02835_d0_r	0.9074402	0	0	0	0
rxn02914_d0_r	0	0	0.07910156	0	0
rxn02928_d0_r	0.7475281	2.652588	0	0.3711853	2.8644714
rxn02929_d0_r	1.7729797	0	2.4515991	1.961029	0
rxn02938_d0_r	15.213379	16.115723	23.187256	22.9021	23.57788
rxn02988_d0_r	0	0	0	0	0
rxn03062_d0_r	0.46276855	0	1.0703735	0.62713623	0.44555664
rxn03080_d0_r	4.1028595	2.5472412	2.3256073	2.6827393	2.9501495
rxn03108_d0_r	0	0	0	0	0
rxn03135_d0	0.2953111	1.0860573	0.26682618	0.3207077	0.29114786
rxn03136_d0_r	0	0	0	0	0.0435791
rxn03175_d0_r	0	0	0	0	0
rxn03907_d0_r	0.58044434	0.8428345	1.1479187	0.9755554	1.0452881
rxn03958_d0_r	0	0	0	0	0
rxn03983_d0	1.8084936	0.3850069	0.2534492	0.46494973	0.9326525
rxn04996_d0	0	0	0	0	0
rxn05039_d0_r	3.1519568	1.9302384	2.5721304	2.8010824	3.032565
rxn05105_d0	0	0	0	0	0
rxn05106_d0_r	0	0	0	0	0
rxn05324_d0	0.7464726	2.6514802	0.92712736	0.80644876	0.809544
rxn05325_d0	0.7464726	1.2642058	0.92712736	0.80644876	0.809544
rxn05326_d0	0.7464726	1.4829668	0.92712736	0.80644876	0.809544
rxn05330_d0_r	0.764801	2.2449646	0.63601685	1.3915253	1.0463867
rxn05331_d0_r	0.8540344	1.8028259	0.6300659	1.2137299	0.7960205
rxn05335_d0_r	6.017517	3.9149475	5.1262207	6.9528046	7.75473
rxn05337_d0_r	1.4855652	0	2.6602478	0.4756775	0
rxn05338_d0	0.65179646	1.0891244	0.6259517	0.5385998	0.8335022
rxn05340_d0_r	1.4855652	0	2.6602478	0.5630188	0
rxn05342_d0_r	0	0	1.469574	0	0
rxn05465_d0_r	17.480408	12.172302	18.299438	19.088623	17.065186
rxn07441_d0_r	0	0	0	0.07757568	0
rxn08392_d0_r	0	0	0	0.30239868	0.28305054
rxn08436_d0_r	0	0	0	0	0
rxn15021_d0	0	0	0	0	0
rxn15116_d0_r	0	0	0	0	0
rxn15250_d0_r	0	0	0	0	0
rxn15271_d0_r	0	0	0	0	0
rxn15280_d0_r	0	0	0	0	0
rxn15298_d0_r	0.66241455	0	0	0	0
rxn15364_d0_r	0	0	0	0	0
rxn15494_d0_r	0	0	0	0	0
rxn17469_d0	0	0	0	0	0
rxn17744_d0_r	32.84616	27.116943	32.38678	32.183533	30.542236
rxn17803_d0_r	6.748413	7.737549	14.293579	14.779236	13.365784
rxn18936_d0_r	0	2.2449646	0	1.3497162	1.0463867
rxn18937_d0_r	8.8862	10.206268	8.728485	9.728622	10.289764
rxn19027_d0_r	0	0	0	0	0
rxn19029_d0_r	0	0	0	0	0
rxn19240_d0_r	7.2009277	2.9024658	6.736145	6.7130127	3.850586
rxn19241_d0_r	0	0	0	0	0
rxn19242_d0_r	0	0	0	0	0
rxn19343_d0_r	0	0	0	0	0
rxn19686_d0_r	0.18310547	2.2261658	0.8560791	1.4746552	1.0749817
rxn19701_d0	0	0	0	0	0
rxn19828_d0_r	0	0	0	0	0
rxn19900_d0_r	0	0	0	0	0
rxn20583_d0_r	0	0	0	0	0
rxn20643_d0_r	4.947357	2.3064575	3.4589539	3.6073608	3.71109
rxn23155_d0_r	0	0	0	0	0
rxn23415_d0_r	1.0535306	0.5238745	0.4102559	0.42895728	0.31343687
rxn24330_d0_r	0	0	0	0	0
rxn24362_d0_r	0	0	0	0	0
rxn24508_d0_r	32.39966	38.381836	48.72046	51.090088	47.854248
rxn25637_d0_r	0	0	1.3019104	0	0
