rxn_ID	svpenalty_Control	svpenalty_FeLim	svpenalty_FeEX	svpenalty_ZnLim	svpenalty_ZnEx
rxn29785_d0_i	32.16181	35.60766	34.78632	35.241432	34.204597
rxn29785_d0_o	24.536238	17.94784	18.724201	18.133589	18.595913
rxn29919_d0_f	4.1811523	5.649536	5.111267	4.9381714	5.2023926
rxn29919_d0_r	0.7384033	0.22595215	0.9220581	0.96014404	0.6015625
rxn31154_d0_i	451.62762	161.5703	155.55014	154.38159	167.47441
rxn31154_d0_o	0.5523681	144.4359	151.70096	150.99637	140.80489
rxn31768_d0	0	0	0	0	0
rxn33186_d0_i	1.0350877	1.0664673	1.1227931	1.101679	1.0749965
rxn33186_d0_o	0.8986664	0.44824225	0.3294065	0.37637413	0.4519513
rxn37018_d0	1.3518544	1.0244381	0.89390874	0.94165224	0.9456702
rxn37266_d0_f	4.9874268	5.0776367	5.1345825	4.887207	4.8325806
rxn37266_d0_r	1.0504761	0	0.71569824	0.61035156	2.4224854
rxn37324_d0	0.07222999	0	0	0	0
rxn37610_d0	0	0	0	0	0
rxn37651_d0_f	2.0891113	2.0367432	2.105835	2.2734375	2.6035767
rxn37651_d0_r	2.8900146	3.1795654	3.1929932	3.1552734	3.1089478
rxn39241_d0_i	14.623901	11.932739	12.787659	16.1333	13.548645
rxn39241_d0_o	20.088379	21.766296	21.731201	25.67273	21.343689
rxn39242_d0_i	23.068604	26.605896	26.264038	29.09021	25.75592
rxn39242_d0_o	15.697388	12.984253	13.77179	15.312012	14.818909
